command,intent
"shut down the computer","shutdown"
"turn off the pc right now","shutdown"
"power off this machine","shutdown"
"kill the system","shutdown"
"shut this thing down immediately","shutdown"
"turn the computer off","shutdown"
"cut the power","shutdown"
"shut it down","shutdown"
"i need you to shut down the pc","shutdown"
"please power down the system","shutdown"
"end everything and shut the computer down","shutdown"
"can you turn the system off","shutdown"
"switch off the computer","shutdown"
"power down this device","shutdown"
"go ahead and shut it off","shutdown"
"execute shutdown sequence","shutdown"
"stop the machine and turn it off","shutdown"
"i want the computer to shut down","shutdown"
"shutdown now","shutdown"
"bring the pc to a full stop","shutdown"
"terminate the system entirely","shutdown"
"restart the computer","restart"
"reboot this pc right now","restart"
"i need a full system restart","restart"
"can you restart the system","restart"
"reboot the system immediately","restart"
"please restart the computer","restart"
"do a complete reboot","restart"
"kick off a restart","restart"
"initiate reboot sequence","restart"
"restart everything from scratch","restart"
"start the system over","restart"
"reboot the whole device","restart"
"cycle the power and restart","restart"
"perform a system restart","restart"
"restart this thing", "restart"
"restart the system now", "restart"
"restart this thing now", "restart"
"lets restart this machine", "restart"
"lets do a restart", "restart"
"i want you to reboot it", "restart"
"force a restart now", "restart"
"reboot the computer asap", "restart"
"shut it down and start it back up", "restart"
"refresh the system with a reboot", "restart"
"put the computer to sleep","sleep"
"make the pc sleep","sleep"
"send the system to sleep mode","sleep"
"put this machine into sleep mode","sleep"
"go to sleep now","sleep"
"put it to sleep","sleep"
"sleep the computer","sleep"
"sleep mode please","sleep"
"can you put the system to sleep","sleep"
"activate sleep mode","sleep"
"suspend the computer","sleep"
"put the device to sleep","sleep"
"send the pc to sleep","sleep"
"make the system sleep now","sleep"
"put the whole thing into sleep","sleep"
"go into sleep mode","sleep"
"switch to sleep mode","sleep"
"i want the computer to sleep","sleep"
"suspend this machine","sleep"
"enter sleep mode","sleep"
"lock the computer","lock"
"lock this pc right now","lock"
"please lock the screen","lock"
"lock the system","lock"
"lock it","lock"
"can you lock the screen","lock"
"i need the pc locked","lock"
"secure the computer and lock it","lock"
"put the system on lock","lock"
"activate screen lock","lock"
"lock my screen immediately","lock"
"turn on the lock screen","lock"
"lock this machine","lock"
"engage the lock","lock"
"lock everything up","lock"
"throw up the lockscreen","lock"
"protect the system and lock it","lock"
"switch to lock screen mode","lock"
"lock the device","lock"
"freeze the screen and lock it","lock"
"logout of the system","logout"
"log me out","logout"
"sign me out","logout"
"get me logged out","logout"
"please log out","logout"
"logout right now","logout"
"end this session","logout"
"terminate my session","logout"
"i want to sign out","logout"
"can you logout the user","logout"
"log out of this account","logout"
"kick me out","logout"
"exit my session","logout"
"disconnect my account","logout"
"log out immediately","logout"
"force logout","logout"
"sign out of the pc","logout"
"remove my session","logout"
"close my session and logout","logout"
"logout from the system","logout"
"increase the volume","volume"
"turn the volume up","volume"
"make it louder","volume"
"raise the sound level","volume"
"volume up please","volume"
"boost the audio","volume"
"crank up the volume","volume"
"turn up the sound","volume"
"i need more volume","volume"
"louder now","volume"
"decrease the volume","volume"
"turn the volume down","volume"
"make it quieter","volume"
"lower the sound level","volume"
"reduce the audio","volume"
"drop the volume","volume"
"mute the system","volume"
"silence the sound","volume"
"unmute the audio","volume"
"bring the volume back","volume"
"increase the brightness","brightness"
"make the screen brighter","brightness"
"turn the brightness up","brightness"
"brighten the display","brightness"
"boost the brightness","brightness"
"i need more brightness","brightness"
"lighten the screen","brightness"
"turn up the display light","brightness"
"raise the brightness","brightness"
"make it brighter","brightness"
"decrease the brightness","brightness"
"dim the display","brightness"
"reduce screen brightness","brightness"
"turn the brightness down","brightness"
"make the screen darker","brightness"
"darken the display","brightness"
"drop the brightness level","brightness"
"lower the screen light","brightness"
"set brightness lower","brightness"
"tone down the brightness","brightness"
"what's the date today","get_date"
"tell me today's date","get_date"
"give me the date","get_date"
"show me the current date","get_date"
"what date is it","get_date"
"get the date","get_date"
"tell me the system date","get_date"
"i need today's date","get_date"
"what date do we have","get_date"
"current date please","get_date"
"fetch the date","get_date"
"show the present date","get_date"
"tell me the exact date","get_date"
"say the date","get_date"
"display today's date","get_date"
"can you tell me the date","get_date"
"find out the current date","get_date"
"show me today's date","get_date"
"date please","get_date"
"check the date now","get_date"
"what day is it","get_day"
"tell me the day","get_day"
"what day is today","get_day"
"give me today's day","get_day"
"show me the current day","get_day"
"what day do we have","get_day"
"what's the day today","get_day"
"tell me what day it is","get_day"
"current day please","get_day"
"day please","get_day"
"find out the day","get_day"
"say the day","get_day"
"get today's day","get_day"
"show the day","get_day"
"what day are we on","get_day"
"check the day","get_day"
"i need to know the day","get_day"
"which day is it","get_day"
"name the day","get_day"
"tell me the weekday","get_day"
"what time is it","get_time"
"tell me the current time","get_time"
"give me the time","get_time"
"what’s the time right now","get_time"
"show me the time","get_time"
"get the current time","get_time"
"can you tell me the time","get_time"
"i need the time","get_time"
"what’s the time on this computer","get_time"
"tell me the system time","get_time"
"current time please","get_time"
"fetch the time","get_time"
"give me the current time","get_time"
"what time do we have","get_time"
"show the time","get_time"
"tell me the exact time","get_time"
"get the exact time","get_time"
"say the time","get_time"
"find out the current time","get_time"
"check the time now","get_time"
"what's the battery level","battery_status"
"tell me the battery percentage","battery_status"
"how much battery is left","battery_status"
"show me the battery status","battery_status"
"what's the battery status","battery_status"
"battery percentage please","battery_status"
"check the battery level","battery_status"
"get the current battery","battery_status"
"how's the battery doing","battery_status"
"give me the battery level","battery_status"
"show battery percentage","battery_status"
"how much charge is left","battery_status"
"tell me the charge level","battery_status"
"read the battery status","battery_status"
"current battery percentage","battery_status"
"check remaining battery","battery_status"
"battery level now","battery_status"
"find out the battery level","battery_status"
"how low is the battery","battery_status"
"what percent battery do we have","battery_status"
"toggle the wifi","toggle_wifi"
"switch the wifi","toggle_wifi"
"flip the wifi setting","toggle_wifi"
"change the wifi state","toggle_wifi"
"toggle wireless mode","toggle_wifi"
"switch wireless","toggle_wifi"
"wifi toggle please","toggle_wifi"
"turn on the wifi","toggle_wifi"
"enable wifi","toggle_wifi"
"switch on wifi","toggle_wifi"
"activate wifi","toggle_wifi"
"power on wireless","toggle_wifi"
"bring the wifi online","toggle_wifi"
"start the wireless network","toggle_wifi"
"make the wifi active","toggle_wifi"
"wifi on please","toggle_wifi"
"turn off the wifi","toggle_wifi"
"disable wifi","toggle_wifi"
"switch off wifi","toggle_wifi"
"deactivate wifi","toggle_wifi"
"power off wireless","toggle_wifi"
"shut down wifi","toggle_wifi"
"kill the wifi","toggle_wifi"
"disconnect the wifi","toggle_wifi"
"wifi off please","toggle_wifi"
"take wifi offline","toggle_wifi"
"change wifi from on to off","toggle_wifi"
"change wifi from off to on","toggle_wifi"
"please make the wifi off", "toggle_wifi"
"toggle bluetooth","toggle_bluetooth"
"switch the bluetooth","toggle_bluetooth"
"flip bluetooth mode","toggle_bluetooth"
"change the bluetooth state","toggle_bluetooth"
"toggle wireless bluetooth","toggle_bluetooth"
"switch bluetooth","toggle_bluetooth"
"bluetooth toggle please","toggle_bluetooth"
"turn on bluetooth","toggle_bluetooth"
"enable bluetooth","toggle_bluetooth"
"switch on the bluetooth","toggle_bluetooth"
"activate bluetooth","toggle_bluetooth"
"power on bluetooth","toggle_bluetooth"
"bring bluetooth online","toggle_bluetooth"
"start bluetooth","toggle_bluetooth"
"make bluetooth active","toggle_bluetooth"
"bluetooth on please","toggle_bluetooth"
"turn off bluetooth","toggle_bluetooth"
"disable bluetooth","toggle_bluetooth"
"switch off the bluetooth","toggle_bluetooth"
"deactivate bluetooth","toggle_bluetooth"
"power off bluetooth","toggle_bluetooth"
"shut down bluetooth","toggle_bluetooth"
"kill bluetooth","toggle_bluetooth"
"disconnect bluetooth","toggle_bluetooth"
"bluetooth off please","toggle_bluetooth"
"take bluetooth offline","toggle_bluetooth"
"flip bluetooth on or off","toggle_bluetooth"
"change bluetooth from on to off","toggle_bluetooth"
"change bluetooth from off to on","toggle_bluetooth"
"open chrome","open"
"launch chrome","open"
"start chrome","open"
"open spotify","open"
"run vscode","open"
"launch notepad","open"
"start calculator","open"
"open the browser","open"
"open telegram","open"
"start command prompt","open"
"open downloads","open"
"show me downloads","open"
"open the documents folder","open"
"open my projects folder","open"
"take me to the desktop","open"
"open the pictures folder","open"
"open workspace","open"
"open the music directory","open"
"open resume.pdf","open"
"open the invoice file","open"
"open my report","open"
"open the notes file","open"
"open design.png","open"
"open the presentation","open"
"open requirements document","open"
"open the database file","open"
"can you open chrome","open"
"please open downloads","open"
"open the pdf","open"
"get me the file named report","open"
"close chrome","close"
"quit chrome","close"
"exit chrome","close"
"kill chrome","close"
"shut down chrome","close"
"close spotify","close"
"terminate spotify","close"
"stop spotify","close"
"quit notepad","close"
"close vscode","close"
"close the browser","close"
"end the browser","close"
"kill the app","close"
"force close the app","close"
"close the application","close"
"exit the program","close"
"shut the app","close"
"kill the program","close"
"close everything","close"
"close all apps","close"
"stop all running apps","close"
"kill all processes","close"
"close every application","close"
"quit every app","close"
"shut down all apps","close"
"close all apps","close_all_apps"
"quit all applications","close_all_apps"
"shut down all apps","close_all_apps"
"terminate every app","close_all_apps"
"force close all programs","close_all_apps"
"close every application","close_all_apps"
"exit all apps","close_all_apps"
"kill all running apps","close_all_apps"
"stop all apps","close_all_apps"
"end all applications","close_all_apps"
"close all running programs","close_all_apps"
"quit everything","close_all_apps"
"shut down every app","close_all_apps"
"terminate all processes","close_all_apps"
"kill all apps","close_all_apps"
"close everything running","close_all_apps"
"exit all programs","close_all_apps"
"force quit all apps","close_all_apps"
"stop all running applications","close_all_apps"
"close all software","close_all_apps"
"end all running apps","close_all_apps"
"kill chrome","close_all_instances"
"terminate spotify","close_all_instances"
"force quit vscode","close_all_instances"
"kill notepad","close_all_instances"
"shut down chrome","close_all_instances"
